Business_name,Username,Review Date,Visit Date,Review Title,Review Text,Rating
Albeta Mediterranean Bakery,soloMysteryTraveller,"October 25, 2018",October 2018,Smell of freshly baked,"Really I was just passing outside when I saw this good looking sandwiches and I became suddenly hungry! The man explained what is in the baked covered by bread. I took for Take Away that one with filadelphia&turkey and the other feta, tomato,olives and oregano (1,20€ each). Both were Delicious and totally fresh! Amazing tasty dough. Worth a try!",5.0
Albeta Mediterranean Bakery,SuiteAsOuzo,"September 24, 2018",September 2018,Great Frappe and Pastries,Friendly staff in a quieter location. You can buy frappes just about anywhere but some are more enjoyable than others. The frappes here are amongst the best we have had in Thessaloniki. There is also a great range of pastries to choose from.,5.0
Albeta Mediterranean Bakery,John M,"September 7, 2018",September 2018,Great bakery and coffee shop.,This place is one block down from where my wife and I stayed. Totally awesome as it is off the main drag and offers a nice experience in this neighborhood. Very nice staff and good food.,4.0
Albeta Mediterranean Bakery,Marija K,"January 8, 2018",January 2018,Bad,"I just had breakfast there with my boyfriend and we found WORMS in our orange juice. We are both sick now. Clearly they buy cheap oranges, which aren't even fresh. They've obviously had them in storage for way longer than their expiration date. The staff wasn't helpful at all when we reported the incident. Overall, we do not recommend.",1.0
Albeta Mediterranean Bakery,"ahmetaykin
Istanbul, Turkiye","May 19, 2017",May 2017,Very nice breakfast,"We stopped for a quick breakfast. There are many options to choose as salty and sweety dishes.
Everything we ordered were delicious. The prices are so cheap as well.
We paid 10,9 euros for 2 turkey & cheese sandwiches, 2 sweety croissants, 2 americanos and a water.
You can also take away your orders.",5.0
Albeta Mediterranean Bakery,"Eirini B
Zurich, Switzerland","January 12, 2017",January 2017,Great Bistro Bakery,"A very nice bakery with a great atmosphere. The boyoz (something like bougatsa) was very good and the homemade bougatsa one of the best in the city. All other pastries and bakery products fresh and very tasty. Only downside was the omelet, that was not anything special.",4.0
Albeta Mediterranean Bakery,LiliPekker,"December 4, 2016",December 2016,Great cozy cafe,"Loved everything about it, coffees pastries. Staff is amazing and very polite. The place was very beautifully decorated. Prices are very low and very economical.",5.0
Albeta Mediterranean Bakery,Yona S,"June 25, 2019",June 2019,"A great place for a light breakfast , lunch or dinner",They serve a very nice small salad or a cup of fruit. They have nice sendwiches and nice cakes with a very good cuppuochino We went there several times during our vacation and it was always very nice. Yona S.,5.0
Albeta Mediterranean Bakery,konsmavr,"May 22, 2019",May 2019,No1,"The very best breakfast in Thessaloniki.Nothing to compare with.You can taste the stunning greek food in a pleasant place.Excellent choice for everyone as you can find huge variety in the best quality.Highly recommended.
Enjoy it!",5.0
Albeta Mediterranean Bakery,Apontoul,"May 2, 2019",April 2019,Very nice!,"Definitely visit it again! Value for money!Quality drinks and snacks ,very polite staff! Really know how to treat you!",5.0
Albeta Mediterranean Bakery,Marinakstar,"April 14, 2019",April 2019,Nice,"Delicious fresh sandwiches and pastry, very good espresso, all self-service. Nice location, cost atmosphere and good light.",5.0
Albeta Mediterranean Bakery,"mariolL8675SQ
Rostock, Germany","April 12, 2019",April 2019,Fantastic small bakery,"Perfect for a breakfast with delicious sweets as well as small hot pieces. Coffee is extremely good to wake up, ideally to enjoy with fresh squeezed orange juice. Nice atmosphere in the morning ...

Located directly in Thessaloniki's city centre, close to all hot spots of the town.",5.0
Albeta Mediterranean Bakery,REDMAN5314,"January 28, 2019",March 2018,Cozy place,"Good for coffee, pastries and breakfast. Accessible cafe and comfortable to sit down with your friends and discuss.",5.0
Albeta Mediterranean Bakery,nicoletsolaki,"January 7, 2019",December 2018,Love this place! A must in Thessaloniki,One of the coziest places in Thessaloniki! Coffee and dessert lovers should definitely visit this bakery! Also the best place for a delicious breakfast !,5.0
Albeta Mediterranean Bakery,ozgegocer,"November 28, 2018",November 2018,It could have been better,"I tried salmon sandwich. Sandwich itself was big, the ingredients and the taste was good but could have been much more inside.",3.0
Albeta Mediterranean Bakery,soloMysteryTraveller,"October 25, 2018",October 2018,Smell of freshly baked,"Really I was just passing outside when I saw this good looking sandwiches and I became suddenly hungry! The man explained what is in the baked covered by bread. I took for Take Away that one with filadelphia&turkey and the other feta, tomato,olives and oregano (1,20€ each). Both were Delicious and totally fresh! Amazing tasty dough. Worth a try!",5.0
Albeta Mediterranean Bakery,SuiteAsOuzo,"September 24, 2018",September 2018,Great Frappe and Pastries,Friendly staff in a quieter location. You can buy frappes just about anywhere but some are more enjoyable than others. The frappes here are amongst the best we have had in Thessaloniki. There is also a great range of pastries to choose from.,5.0
Albeta Mediterranean Bakery,John M,"September 7, 2018",September 2018,Great bakery and coffee shop.,This place is one block down from where my wife and I stayed. Totally awesome as it is off the main drag and offers a nice experience in this neighborhood. Very nice staff and good food.,4.0
Albeta Mediterranean Bakery,Marija K,"January 8, 2018",January 2018,Bad,"I just had breakfast there with my boyfriend and we found WORMS in our orange juice. We are both sick now. Clearly they buy cheap oranges, which aren't even fresh. They've obviously had them in storage for way longer than their expiration date. The staff wasn't helpful at all when we reported the incident. Overall, we do not recommend.",1.0
Albeta Mediterranean Bakery,"ahmetaykin
Istanbul, Turkiye","May 19, 2017",May 2017,Very nice breakfast,"We stopped for a quick breakfast. There are many options to choose as salty and sweety dishes.
Everything we ordered were delicious. The prices are so cheap as well.
We paid 10,9 euros for 2 turkey & cheese sandwiches, 2 sweety croissants, 2 americanos and a water.
You can also take away your orders.",5.0
Albeta Mediterranean Bakery,"Eirini B
Zurich, Switzerland","January 12, 2017",January 2017,Great Bistro Bakery,"A very nice bakery with a great atmosphere. The boyoz (something like bougatsa) was very good and the homemade bougatsa one of the best in the city. All other pastries and bakery products fresh and very tasty. Only downside was the omelet, that was not anything special.",4.0
Albeta Mediterranean Bakery,LiliPekker,"December 4, 2016",December 2016,Great cozy cafe,"Loved everything about it, coffees pastries. Staff is amazing and very polite. The place was very beautifully decorated. Prices are very low and very economical.",5.0
Albeta Bakery,Nikos B,"May 24, 2023",May 2023,Good experience,Very nice place to drink some coffee or enjoy some baked goods. The staff is very friendly. Good experience overall would suggest,4.0
Albeta Bakery,sihoff,"May 3, 2023",April 2023,Great Greek pastries,"Time to quit eatong croissants for breakfast (they aren't good there) and try something Greek. And you will be pleasantly surprised how tasty everything is... sweet or sour, it doesn't matter, your day has started great already.",4.0
Albeta Bakery,Fearless36472798466,"April 13, 2023",April 2023,Totally recommended,Many and tasteful breakfast and lunch options. Nice place to go after work for coffee or wine. Really convenient location.,5.0
Albeta Bakery,ZoAki_2,"February 9, 2023",February 2023,Good survice and quality,"I have visited this olace several times before. The survice is excellent and they have a great selection of pastries, salads and sandwiches, including many healthy choices, but also coffee.",5.0
Albeta Bakery,George K,"February 4, 2023",February 2023,Sublime. Can't miss it. Croque Madame was the best ever,Simply the best bakery in Thessaloniki. An amazing experience. Wonderful products and very tasty. Staff was super fast and helpful,5.0
Albeta Bakery,nasosv690,"February 3, 2023",February 2023,Everyday morning option,Great coffee and food with lots of different options to choose from . Great for breakfast and any time around. You can enjoy on the go or by sitting there,4.0
Albeta Bakery,Savasosofos,"January 31, 2023",December 2022,One of the best in Thessaloniki,"Always on top connecting quality! Many interesting choices, plenty of delicious food. In my opinion perfect place to find breakfast!",5.0
Albeta Bakery,"zuz_mel
Brno, Czech Republic","June 16, 2022",May 2022,Nice place for breakfast or brunch!,I looked forward to breakfast every morning. It was the best meal of the day. Perfect warm and fresh pastries. Everything was amazing - savory and sweet pastries. I was also thrilled that they filled our butter croissant with chocolate upon request. I recommend everyone to try as much food as possible at this bakery!,5.0
Albeta Bakery,305patriziav,"September 8, 2020",September 2020,Delicious food and coffee,"The best bakery, Cosy atmosphere, Warm staff. Delicious ice-cream, fantastic sandwich and nice coffee.",5.0
Albeta Bakery,Bobi R,"February 8, 2020",February 2020,Best bakery in Thessaloniki,"Best bakery in Thessaloniki and that means a lot. Lots of workers, everything is prepared fresh upstairs. The long work hours are absolutely amazing as I love eating bakery goods all day/night. I'm so glad I found it",5.0
Albeta Bakery,"Carol A S
Marietta, Georgia","January 24, 2020",June 2019,Open early for great breakfasts,"Albeta Bakery is one of the few restaurants open at 6:30am for breakfast. As I stepped into the bakery my eyes were greeted by display cases full of scrumptious baked goods. The bakery also offered a limited menu of sandwiches, salads and other items. I had a toasted pastry with an egg and slices of meat (somewhat like an egg McMuffin without the top). I enjoyed a croissant (flakey, warm from the oven) with my coffee (hot, freshly brewed). The staff was friendly and efficient. Prices were a bit higher than other restaurants in the area, but the superb quality and early hours were worth it.",5.0
Albeta Bakery,Stefanos B,"November 19, 2019",August 2019,"Super for coffee, sandwiches, bread","In the district of Ladadika this place has very tasty sandwiches, breads, the coffee is also top quality. Recommended.",5.0
Albeta Bakery,Bella G,"October 29, 2019",October 2019,Great place for breakfast or coffee,"We were really pleased to find this place. Great coffee, a good selection of bread, sandwiches and cakes, and affordable. I tend to stay inside and avoid the smoke on the terrace. There’s plenty of space with comfortable chairs. Clean and welcoming.",5.0
Albeta Bakery,635mirar,"October 19, 2019",October 2019,"Cute, affordable, delicious!",Amazing bakery and coffee place recommended 100% to anyone visiting Thessaloniki! Staff are friendly and atmosphere is chill.,5.0
Albeta Bakery,937mariuss,"August 26, 2019",August 2019,Great pie,"Location is very close to the central area. Cozy setting, tasty pie (cheese pie) pizza is good. Overall is worth to try the place.",5.0
Albeta Bakery,adah320,"August 6, 2019",August 2019,"Nice place for cake, Sandwich and coffee","Alot of selection, very good coffee, warm wellcome, many tables inside and outside but still feeling of privacy and very .clean",5.0
Albeta Bakery,Nirtessler,"August 2, 2019",August 2019,Great place for early breakfast,Large choice of croissants and sandwiches are plus a very good coffee (ask to make it strong). Staff very friendly.,5.0
Albeta Bakery,zaferkb,"August 2, 2019",August 2019,Greek version of “Paul”,"Stopped by to grab some breakfast to go. Excellent products, honest food! Especially “peynirli” or “peinirli” with different flavors... highly recommended - next time hopefully I will try their sandwiches - they look amazing!",5.0
Albeta Bakery,TG839,"June 24, 2019",June 2019,Coffee and cake,"Lovely cafe, good feel and delicious treats. Tucked back from the sea front with steady stream of customers. Worth a visit.",5.0
Albeta Bakery,"electra2015
Thessaloniki, Greece","June 15, 2019",June 2019,whether you are a tourist or local i highly recommend it,"it is one of the few remaining ( in my humble opinion ) cafes where being a frequent visitor is not frowned upon. if you live in thessaloniki, it is very conveniently located for your coffee or snack. if you are a tourist again you will easily find it and can have a short break before you continue exploring. what makes it ideal is the people who work here. always kind and smiling, they welcome you, make you feel at home. especially giannis is a true professional. with a kind word for everyone and a smiling service, he is very likely to remember your preference if you have visited before. the coffee is great and relatively economical and the treats are delicious and on the healthy side.",5.0
Albeta Bakery,Vicky S,"May 22, 2019",May 2019,Unique flavors,"Very tasty products, there is a food selection for all day, as you can find savoury and sweet options for breakfast but also lunch and dinner. I prefer it every day for my coffee,exceptional Coffee flavor.",5.0
Albeta Bakery,"JandKM
UK","May 4, 2019",May 2019,"Delicious food, great atmosphere - highly recommended","Whenever we visit Thessaloniki, we visit this lovely bakery for breakfast. It is just around the corner from where we like to stay in Ladadika.

Today we enjoyed wonderful fresh croissants and orange juice before heading to the airport. We also purchased a really tasty baguette to eat on the plane for lunch.

Ever since we discovered Albeta Bakery two years ago, we have always been impressed by the helpful, friendly, efficient staff and the wide selection of delicious, freshly prepared food.

Albeta Bakery is spotlessly clean with modern decor and cosy seating (inside and outside). It is possible to eat in or take away and we know it is popular with local workers and tourists too.

We always feel very welcome here and look forward to our next trip.",5.0
Albeta Bakery,adah320,"August 6, 2019",August 2019,"Nice place for cake, Sandwich and coffee","Alot of selection, very good coffee, warm wellcome, many tables inside and outside but still feeling of privacy and very .clean",5.0
Albeta Bakery,Nirtessler,"August 2, 2019",August 2019,Great place for early breakfast,Large choice of croissants and sandwiches are plus a very good coffee (ask to make it strong). Staff very friendly.,5.0
Albeta Bakery,zaferkb,"August 2, 2019",August 2019,Greek version of “Paul”,"Stopped by to grab some breakfast to go. Excellent products, honest food! Especially “peynirli” or “peinirli” with different flavors... highly recommended - next time hopefully I will try their sandwiches - they look amazing!",5.0
Albeta Bakery,TG839,"June 24, 2019",June 2019,Coffee and cake,"Lovely cafe, good feel and delicious treats. Tucked back from the sea front with steady stream of customers. Worth a visit.",5.0
Albeta Bakery,"electra2015
Thessaloniki, Greece","June 15, 2019",June 2019,whether you are a tourist or local i highly recommend it,"it is one of the few remaining ( in my humble opinion ) cafes where being a frequent visitor is not frowned upon. if you live in thessaloniki, it is very conveniently located for your coffee or snack. if you are a tourist again you will easily find it and can have a short break before you continue exploring. what makes it ideal is the people who work here. always kind and smiling, they welcome you, make you feel at home. especially giannis is a true professional. with a kind word for everyone and a smiling service, he is very likely to remember your preference if you have visited before. the coffee is great and relatively economical and the treats are delicious and on the healthy side.",5.0
Albeta Bakery,Vicky S,"May 22, 2019",May 2019,Unique flavors,"Very tasty products, there is a food selection for all day, as you can find savoury and sweet options for breakfast but also lunch and dinner. I prefer it every day for my coffee,exceptional Coffee flavor.",5.0
Albeta Bakery,"JandKM
UK","May 4, 2019",May 2019,"Delicious food, great atmosphere - highly recommended","Whenever we visit Thessaloniki, we visit this lovely bakery for breakfast. It is just around the corner from where we like to stay in Ladadika.

Today we enjoyed wonderful fresh croissants and orange juice before heading to the airport. We also purchased a really tasty baguette to eat on the plane for lunch.

Ever since we discovered Albeta Bakery two years ago, we have always been impressed by the helpful, friendly, efficient staff and the wide selection of delicious, freshly prepared food.

Albeta Bakery is spotlessly clean with modern decor and cosy seating (inside and outside). It is possible to eat in or take away and we know it is popular with local workers and tourists too.

We always feel very welcome here and look forward to our next trip.",5.0
Koukos,alessandrapE3586BB,"June 3, 2023",April 2023,Amazing,I couldn’t beleive pw tasteful the desserts are!!my kids are crazy about this place !!if you are in Thessaloniki you should definitely definitely visit,5.0
Koukos,sihoff,"May 3, 2023",April 2023,Tasty&hospitable,"Nice cozy simple place for nice simple and tasty pastries. Staff is super nice, explains everything, works fast and professional. Sit outside to taste their pastries or take away and your day gets better",5.0
Koukos,pavol_ven,"February 9, 2023",February 2023,Great breakfast,We came for a breakfast and coffee. There was a big variety of salty and sweet pastry and some sandwiches. Highly recommended!,5.0
Koukos,"Stefanos B
Thessaloniki, Greece","October 29, 2022",June 2022,Nothing special,"This shop is in the center of Thessaloniki, very good location.Bought many times ''koulouri '' which was OK, however I believe it was nothing special.",3.0
Koukos,kübra d,"October 16, 2022",September 2022,Perfect Baking,"Everything that selling in the shop were awesome. When you arrive near the shop, you can smell the pastries. I will definitely go again when visit Thessaloniki.",5.0
Koukos,sofitukk,"September 3, 2022",September 2022,"Sandwiches made with very cold, very tough bread which is not fresh","We ordered two sandwiches. Both of them were made with very tough bread which hurt the insides of my cheeks. On top of that the tables outside and the ashtrays were not clean. I came to this place because of the reviews saying that their sandwiches are great. What a disappointment, what a waste of time.",2.0
Koukos,"Poliorkitis96
Thessaloniki, Greece","December 4, 2021",October 2021,Tasty croissants,"The place has incredible decoration, very unique for this city. I ordered a freddo espresso, which I liked very much, and two small croissants. I went there to drink coffee, but the croissants won my heart. Before I leave, I took another two for home. The price was logical for their products, the quality, and their service

I would definitely recommend it for coffee and snacks!",5.0
Koukos,stefanlaurentiu1989,"August 8, 2021",August 2021,Great pastry and sandwich shop,"Went to this shop out of curiosity and to try some pastry with feta and something sweet. The quality is there, the staff are helpful and they also offered some pastries on the house.",5.0
Koukos,452athanasiat,"July 30, 2021",July 2021,Fantastic delicious and healthy food,"The Koukos tiropitaki is a place where you can find delicious food any time of the day. You can choose between many greek traditional pitas, Greek pies, pastries and round bread roll from Thessaloniki. You can your amazing coffee, americano, frappé or freddo espresso and even the traditional greek coffee.
Koukos tiropitaki is a very clean place and has clean and modern toilets.
If you ever travel to Thessaloniki Koukos tiropitaki is a MUST place to visit.",5.0
Koukos,elenapH3592UM,"July 17, 2020",July 2020,Freshly baked sandwiches!,"Freshly baked sandwiches! (In the evening!!) Nice coffee, friendly staff, pet friendly, recycle friendly",5.0
Koukos,Chrysi1982,"May 24, 2020",May 2020,Best coffee in Thessaloniki,"Lovely people, feels very warm and comfy. Delicious salads, excellent coffee! Keep going Koukos 🤩🤩",5.0
Koukos,stavroulini_1980,"March 5, 2020",March 2020,Love it.,Very friendly stuff and amazing products. Try the sesame bagel with tahini and the handmade bars. These are my favorite ones. But not only. Everything are handmade and from good ingredients.,5.0
Koukos,"Simfi99
Thessaloniki, Greece","October 2, 2019",October 2019,Loved the sandwiches,"It’s beautifully decorated, feels very warm and comfy. It has a really nice variety of foods. The sandwiches are so tasty and there are some unique options. I can feel full just by eating one of them and it stays that way for hours. The staff was very very kind.
They also offer delivery wooo",5.0
Koukos,Antonis11_Z,"October 1, 2019",October 2019,Bakery,very good quality and friendly staff. Very nice coffee to start your day and excellent breakfast with fair prices. It also includes delivery service,5.0
Koukos,Safari293941,"September 28, 2019",September 2019,Freshly baked,"Best quality, freshly baked delicacies, friendly atmosphere. Suggested all year round. Suggested to families with children too",4.0
Koukos,MyIsla,"August 10, 2019",August 2019,Great for breakfast,"If you are looking for a place with great pastries, cakes, and coffee, you have to come here! Beautiful little shop right downtown.",5.0
Koukos,Dekker51,"July 2, 2019",June 2019,Must visit,"Great choices for breakfast or lunch to take away mainly. Snacks, pies, sandwiches, salads all freshly made or baked.",5.0
Koukos,KouroshHon,"June 15, 2019",May 2019,The quality of the food along with the service is simply amazing!,"When you enter initially, the employees welcome me and are very polite. When I bought the Greek food called Tyropitakia, It was so fresh and tasty, I didn't bought tyropitakia from anywhere else. Again, the quality and freshness of their food is not comparable with other places. The amount you pay is well worth it!! Also, I asked if they could add honey to my yogurt with oatmeal, which was not a option or on the menu, however they did with a smile!

Thank you Koukos!!",5.0
Koukos,Tsaouf,"May 21, 2019",May 2019,Koukos,"One of the best places for breakfast in the city, everything is homemade and delicious!! Worth a visit for sure!",5.0
Koukos,ch0206,"May 11, 2019",May 2019,"Lovely, fresh breads and pastries","Whether choosing bread, croissants or pies for breakfast, you won’t be disappointed. Everything is wonderfully fresh. It’s popular which is a sign how good it is. Friendly and helpful staff. Good coffee too.",5.0
Koukos,Elena S,"May 7, 2019",May 2019,Delicious sweets pie and other local deserds.Good prices.The staff was Very kind.Everything is home made as we told.,Delicious sweets pie and other local deserds.Good prices.The staff was Very kind.Everything is home made as we told.,5.0
Koukos,shareefju,"April 23, 2019",April 2019,Worth a visit,"After reading the reviews we decided to try it. Everything we tried was fresh and tasty, prices are fair and the staff are friendly. Recommended",5.0
Koukos,fayev2015,"April 19, 2019",April 2019,Best pastries in Thessaloniki!,"Pretty much everything is perfect there: sandwiches, koulouri, sweets. Big variety, top quality and great service! Honestly, an everyday addiction.",5.0
Koukos,MinaandNadine,"April 15, 2019",April 2019,The most yummy pastries in town,"Elegant place with delicious pastry, desserts, salads and more. Very friendly personnel and the place is very clean, neat and inviting. Highly recommended",5.0
Koukos,"MsMrT
Rotterdam, The Netherlands","April 9, 2019",April 2019,Delicious food and drinks!,"Now we all know Thessaloniki has great places to eat and drink. But this place really made a difference on quality and price level! Due to the numerous bakeries in town, we never went twice to the same place, except for this one! Highly recommended. Cheers, Ms & Mr T",5.0
Koukos,Anastasia T,"March 26, 2019",March 2019,The best koulouri in town!,"If you want the best ""koulouri"" , pite with chesse or croissant with chocolate, you must visit it! Friendly stuff.",5.0
Koukos,paphotels,"February 12, 2019",February 2019,Great Breakfast Variety,"I stay just around the corner and visit them on a daily basis! Huge variety of traditional Greek pastries, very friendly guys! Definitely worth trying more than once!",5.0
Koukos,Μιχαηλ Κ,"December 11, 2018",November 2018,Friendly spot,"Nice atmosphere , very very friendly staff , excellent quality products. Very good experience we WILL have again. We believe , breakfast must be a good experience!!!",5.0
Koukos,frequentraveler67,"November 17, 2018",November 2018,Great bakery in Thessaloniki,Great little bakery with wide variety of delicious freshly baked pastry. And friendly staff too. Highly recommended!,5.0
Koukos,"barneylovesamber
London, United Kingdom","November 17, 2018",November 2018,Lovely bakery with very friendly staff,"We stopped by this place for a mid-afternoon snack and the staff could not have been more friendly.

We tried a traditional Christmas treat (apologies the name escapes me) and some Rum and Poppy Seed Cake which was so moist it was delicious.

The coffee was also great but what was particularly impressive was the lengths that the staff would go to help us try new things.

Highly recommend you drop by, particularly if you have a sweet tooth.",5.0
Koukos,MyIsla,"August 10, 2019",August 2019,Great for breakfast,"If you are looking for a place with great pastries, cakes, and coffee, you have to come here! Beautiful little shop right downtown.",5.0
Koukos,Dekker51,"July 2, 2019",June 2019,Must visit,"Great choices for breakfast or lunch to take away mainly. Snacks, pies, sandwiches, salads all freshly made or baked.",5.0
Koukos,KouroshHon,"June 15, 2019",May 2019,The quality of the food along with the service is simply amazing!,"When you enter initially, the employees welcome me and are very polite. When I bought the Greek food called Tyropitakia, It was so fresh and tasty, I didn't bought tyropitakia from anywhere else. Again, the quality and freshness of their food is not comparable with other places. The amount you pay is well worth it!! Also, I asked if they could add honey to my yogurt with oatmeal, which was not a option or on the menu, however they did with a smile!

Thank you Koukos!!",5.0
Koukos,Tsaouf,"May 21, 2019",May 2019,Koukos,"One of the best places for breakfast in the city, everything is homemade and delicious!! Worth a visit for sure!",5.0
Koukos,ch0206,"May 11, 2019",May 2019,"Lovely, fresh breads and pastries","Whether choosing bread, croissants or pies for breakfast, you won’t be disappointed. Everything is wonderfully fresh. It’s popular which is a sign how good it is. Friendly and helpful staff. Good coffee too.",5.0
Koukos,Elena S,"May 7, 2019",May 2019,Delicious sweets pie and other local deserds.Good prices.The staff was Very kind.Everything is home made as we told.,Delicious sweets pie and other local deserds.Good prices.The staff was Very kind.Everything is home made as we told.,5.0
Koukos,shareefju,"April 23, 2019",April 2019,Worth a visit,"After reading the reviews we decided to try it. Everything we tried was fresh and tasty, prices are fair and the staff are friendly. Recommended",5.0
Koukos,fayev2015,"April 19, 2019",April 2019,Best pastries in Thessaloniki!,"Pretty much everything is perfect there: sandwiches, koulouri, sweets. Big variety, top quality and great service! Honestly, an everyday addiction.",5.0
Koukos,MinaandNadine,"April 15, 2019",April 2019,The most yummy pastries in town,"Elegant place with delicious pastry, desserts, salads and more. Very friendly personnel and the place is very clean, neat and inviting. Highly recommended",5.0
Koukos,"MsMrT
Rotterdam, The Netherlands","April 9, 2019",April 2019,Delicious food and drinks!,"Now we all know Thessaloniki has great places to eat and drink. But this place really made a difference on quality and price level! Due to the numerous bakeries in town, we never went twice to the same place, except for this one! Highly recommended. Cheers, Ms & Mr T",5.0
Koukos,Anastasia T,"March 26, 2019",March 2019,The best koulouri in town!,"If you want the best ""koulouri"" , pite with chesse or croissant with chocolate, you must visit it! Friendly stuff.",5.0
